id,check,checking_peer,state,time
1,1,celective,start,10:30
2,1,celective,success,11:00
3,2,loquatsr,start,10:30
4,2,loquatsr,failure,11:00
5,3,makdak,start,10:45
6,3,makdak,success,11:15
7,4,brettros,start,11:15
8,4,brettros,failure,12:15
9,5,brettros,start,12:00
10,5,brettros,failure,12:30
11,6,loquatsr,start,12:00
12,6,loquatsr,success,13:00
13,7,makdak,start,12:15
14,7,makdak,failure,13:00
15,8,brettros,start,16:00
16,8,brettros,success,16:45
17,9,celective,start,17:00
18,9,celective,success,17:30
19,10,brettros,start,17:00
20,10,brettros,failure,18:00
